"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
262,"2018-2019","6002","Revised","External Debt","Bilateral","Russian Federation Repayments",-771.13
263,"2018-2019","6002","Revised","External Debt","Bilateral","European Investment Bank (EIB) Receipts",844.0
264,"2018-2019","6002","Revised","External Debt","Bilateral","European Investment Bank (EIB) Repayments",""
265,"2018-2019","6002","Revised","External Debt","Expenditure netted against externally assistance for States Projects","European Investment Bank (EIB) ",-13762.12
266,"2018-2019","9003","Revised","Draw Down of Cash Balance","Receipts","European Investment Bank (EIB) ",1407.86
267,"2018-2019","9003","Revised","Draw Down of Cash Balance","Disbursements","European Investment Bank (EIB) ",39793.06
268,"2018-2019","6001","Revised","Market Stabilisation Scheme","Receipts","European Investment Bank (EIB) ",""
269,"2018-2019","6001","Revised","Market Stabilisation Scheme","Repayments","European Investment Bank (EIB) ",""
270,"2019-2020","7601","Budget","Recoveries of Loans & Advances","State Governments","Gross Receipts ",11614.81
271,"2019-2020","7601","Budget","Recoveries of Loans & Advances","State Governments","Recoveries ",-100.0
272,"2019-2020","7602","Budget","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",442.69
273,"2019-2020","7605","Budget","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",145.17
274,"2019-2020","9001","Budget","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",54000.06
275,"2019-2020","9001","Budget","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-51275.01
276,"2019-2020","4000","Budget","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",105000.0
277,"2019-2020","4000","Budget","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",""
278,"2019-2020","4000","Budget","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",""
279,"2019-2020","6001","Budget","Borrowings","Market Loans","Gross Borrowings ",710000.0
280,"2019-2020","6001","Budget","Borrowings","Market Loans","Repayments ",-236877.99
281,"2019-2020","6001","Budget","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",70000.0
282,"2019-2020","6001","Budget","Borrowings","Issuance of Special Securities to Public Sector Banks","Repayments ",""
283,"2019-2020","6001","Budget","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-70000.0
284,"2019-2020","6001","Budget","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",550.0
285,"2019-2020","6001","Budget","Borrowings","Issuance of Special Securities to EXIM Bank","Repayments ",""
286,"2019-2020","6001","Budget","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",-550.0
287,"2019-2020","6001","Budget","Borrowings","Switching of Securities","Gross Borrowings ",50000.0
288,"2019-2020","6001","Budget","Borrowings","Switching of Securities","Repayments ",-50000.0
289,"2019-2020","6001","Budget","Borrowings","Buyback","Gross Borrowings ",""
290,"2019-2020","6001","Budget","Borrowings","Buyback","Repayments ",-50000.0
291,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","14 Days Treasury Bills Gross Borrowings",3960409.22
292,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","14 Days Treasury Bills Repayments",-3960409.22
293,"2019-2020","6001","Budget","Borrowings","Short Term Borrowings","91 Days Treasury Bills Gross Borrowings",545344.72
